id,cve_ent,nom_ent,actividad,X,Y,
mine11,24,San Luis Potosí,mineria,-100.9187768,22.10687475,
mine12,24,San Luis Potosí,mineria,-100.8909095,22.06505024,
mine13,24,San Luis Potosí,mineria,-100.969775,22.13387952,
mine14,24,San Luis Potosí,mineria,-101.0105249,22.14333242,
mine15,24,San Luis Potosí,mineria,-100.9970045,22.21042977,
mine16,24,San Luis Potosí,mineria,-100.9184993,22.11490848,
mine17,24,San Luis Potosí,mineria,-100.919562,22.11801302,
mine18,24,San Luis Potosí,mineria,-100.9203693,22.1206408,
mine19,24,San Luis Potosí,mineria,-100.9718521,22.21827474,
mine20,24,San Luis Potosí,mineria,-100.9754821,22.21592254,
mine21,24,San Luis Potosí,mineria,-100.9545953,22.16094791,
mine22,24,San Luis Potosí,mineria,-100.9543685,22.16200612,
mine23,24,San Luis Potosí,mineria,-100.7783711,22.1106555,
mine24,24,San Luis Potosí,mineria,-101.0276824,22.15879969,
mine25,24,San Luis Potosí,mineria,-100.9532507,22.18342378,
mine26,24,San Luis Potosí,mineria,-100.9783334,22.12949421,
mine27,24,San Luis Potosí,mineria,-100.9579934,22.15683416,
G1,24,San Luis Potosí,Gasolineras,-100.92162531124352,22.13131718713236,
G2,24,San Luis Potosí,Gasolineras,-100.85157344676334,22.140953002666905,
G3,24,San Luis Potosí,Gasolineras,-100.89224135917796,22.152560785991437,
G4,24,San Luis Potosí,Gasolineras,-100.89452665024088,22.153007696084625,
G5,24,San Luis Potosí,Gasolineras,-100.89944043219081,22.154671946427634,
G6,24,San Luis Potosí,Gasolineras,-100.89994473656174,22.155804479450893,
G7,24,San Luis Potosí,Gasolineras,-100.9440625,22.15687366077063,
G9,24,San Luis Potosí,Gasolineras,-100.92071665582172,22.157494648072337,
G10,24,San Luis Potosí,Gasolineras,-100.92919990335541,22.153482232019666,
G11,24,San Luis Potosí,Gasolineras,-100.93404938955514,22.153769683571237,
G12,24,San Luis Potosí,Gasolineras,-100.92922230640542,22.15342831,
G13,24,San Luis Potosí,Gasolineras,-100.9552834,22.15982334636105,
G14,24,San Luis Potosí,Gasolineras,-100.95593897451977,22.157377098778202,
G15,24,San Luis Potosí,Gasolineras,-100.93268903068392,22.169739413487864,
G16,24,San Luis Potosí,Gasolineras,-100.917682739004,22.18323790641364,
G17,24,San Luis Potosí,Gasolineras,-100.95800200335606,22.12265515503493,
G18,24,San Luis Potosí,Gasolineras,-100.96980377496486,22.13062527441766,
G19,24,San Luis Potosí,Gasolineras,-100.94000535719998,22.176834545504153,
G20,24,San Luis Potosí,Gasolineras,-100.98753706429522,22.16985327687727,
G21,24,San Luis Potosí,Gasolineras,-101.01676917960266,22.170955842414656,
G22,24,San Luis Potosí,Gasolineras,-101.03501588596205,22.13802919183787,
G23,24,San Luis Potosí,Gasolineras,-100.97842266322638,22.11621983,
G24,24,San Luis Potosí,Gasolineras,-100.96472913371868,22.109050383144258,
G25,24,San Luis Potosí,Gasolineras,-100.97178215917792,22.15286439,
G26,24,San Luis Potosí,Gasolineras,-100.99844135917817,22.142796424520895,
G27,24,San Luis Potosí,Gasolineras,-101.00900931124296,22.14990134955815,
G28,24,San Luis Potosí,Gasolineras,-101.02136354568498,22.12807951,
G29,24,San Luis Potosí,Gasolineras,-100.94854758986297,22.103369794049584,
G30,24,San Luis Potosí,Gasolineras,-101.02569271210974,22.19283604,
